rennen_name,datum,ort,platz,fahrer
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,6,Lewis Hamilton
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,7,Isack Hadjar
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,8,Pierre Gasly
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,9,Fernando Alonso
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,10,Max Verstappen
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,11,Liam Lawson
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,12,Gabriel Bortoleto
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,13,Yuki Tsunoda
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,14,Carlos Sainz
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,15,Franco Colapinto
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,16,Esteban Ocon
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,17,Oliver Bearman
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,0,Andrea Kimi Antonelli
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,0,Alexander Albon
FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,2025-06-01,Barcelona,0,Lance Stroll
